strategy,init,iterations,query,sample_size,accuracy,f1_score
margin_100,500,20,10,500,0.68725,0.68891
margin_100,500,20,10,510,0.78375,0.766991
margin_100,500,20,10,520,0.7605,0.740244
margin_100,500,20,10,530,0.84,0.835329
margin_100,500,20,10,540,0.83275,0.81817
margin_100,500,20,10,550,0.8315,0.815381
margin_100,500,20,10,560,0.8365,0.828731
margin_100,500,20,10,570,0.83075,0.822955
margin_100,500,20,10,580,0.85475,0.852763
margin_100,500,20,10,590,0.84975,0.844353
margin_100,500,20,10,600,0.853,0.852042
margin_100,500,20,10,610,0.84825,0.844377
margin_100,500,20,10,620,0.854,0.856314
margin_100,500,20,10,630,0.85025,0.850436
margin_100,500,20,10,640,0.856,0.855924
margin_100,500,20,10,650,0.85675,0.8577
margin_100,500,20,10,660,0.8475,0.850557
margin_100,500,20,10,670,0.84,0.846483
margin_100,500,20,10,680,0.839,0.842762
margin_100,500,20,10,690,0.85125,0.855863
least_confinent_100,500,20,10,500,0.803,0.808853
least_confinent_100,500,20,10,510,0.81525,0.823496
least_confinent_100,500,20,10,520,0.83625,0.833504
least_confinent_100,500,20,10,530,0.8475,0.848908
least_confinent_100,500,20,10,540,0.832,0.83592
least_confinent_100,500,20,10,550,0.846,0.847545
least_confinent_100,500,20,10,560,0.82725,0.822596
least_confinent_100,500,20,10,570,0.853,0.85322
least_confinent_100,500,20,10,580,0.8305,0.832647
least_confinent_100,500,20,10,590,0.831,0.835857
least_confinent_100,500,20,10,600,0.82575,0.828536
least_confinent_100,500,20,10,610,0.826,0.833431
least_confinent_100,500,20,10,620,0.82675,0.832738
least_confinent_100,500,20,10,630,0.824,0.823378
least_confinent_100,500,20,10,640,0.83625,0.838123
least_confinent_100,500,20,10,650,0.82025,0.823472
least_confinent_100,500,20,10,660,0.8295,0.836477
least_confinent_100,500,20,10,670,0.819,0.81586
least_confinent_100,500,20,10,680,0.82075,0.823985
least_confinent_100,500,20,10,690,0.82825,0.830608
margin_100,300,20,10,300,0.76275,0.75014
margin_100,300,20,10,310,0.7855,0.779821
margin_100,300,20,10,320,0.844,0.842208
margin_100,300,20,10,330,0.82575,0.826103
margin_100,300,20,10,340,0.82025,0.809241
margin_100,300,20,10,350,0.84225,0.842549
margin_100,300,20,10,360,0.8435,0.843305
margin_100,300,20,10,370,0.828,0.830367
margin_100,300,20,10,380,0.8425,0.841679
margin_100,300,20,10,390,0.845,0.843281
margin_100,300,20,10,400,0.844,0.841492
