strategy,init,iterations,query,sample_size,accuracy,f1_score
random,500,20,10,500,0.73275,0.709187
random,500,20,10,510,0.8125,0.798987
random,500,20,10,520,0.81625,0.806827
random,500,20,10,530,0.80925,0.797802
random,500,20,10,540,0.83925,0.844883
random,500,20,10,550,0.82375,0.831706
random,500,20,10,560,0.83175,0.841095
random,500,20,10,570,0.84,0.844341
random,500,20,10,580,0.82975,0.836544
random,500,20,10,590,0.829,0.836617
random,500,20,10,600,0.82975,0.837633
random,500,20,10,610,0.8325,0.836067
random,500,20,10,620,0.83975,0.842686
random,500,20,10,630,0.85025,0.850223
random,500,20,10,640,0.852,0.853337
random,500,20,10,650,0.84425,0.847932
random,500,20,10,660,0.84775,0.849724
random,500,20,10,670,0.8505,0.851673
random,500,20,10,680,0.85,0.851001
random,500,20,10,690,0.84775,0.847319
margin,500,20,10,500,0.70825,0.686699
margin,500,20,10,510,0.79225,0.77236
margin,500,20,10,520,0.80375,0.788636
margin,500,20,10,530,0.818,0.818314
margin,500,20,10,540,0.8355,0.840716
margin,500,20,10,550,0.844,0.848744
margin,500,20,10,560,0.84725,0.851086
margin,500,20,10,570,0.84025,0.845989
margin,500,20,10,580,0.80925,0.818076
margin,500,20,10,590,0.84525,0.848282
margin,500,20,10,600,0.84675,0.849011
margin,500,20,10,610,0.843,0.845573
margin,500,20,10,620,0.847,0.849753
margin,500,20,10,630,0.851,0.852453
margin,500,20,10,640,0.8545,0.851438
margin,500,20,10,650,0.8625,0.861219
margin,500,20,10,660,0.85275,0.85043
margin,500,20,10,670,0.8585,0.857343
margin,500,20,10,680,0.86225,0.858749
margin,500,20,10,690,0.8535,0.846131
least_confident,500,20,10,500,0.70275,0.681277
least_confident,500,20,10,510,0.803,0.809841
least_confident,500,20,10,520,0.82975,0.818332
least_confident,500,20,10,530,0.82775,0.825199
least_confident,500,20,10,540,0.83475,0.841607
least_confident,500,20,10,550,0.81725,0.821521
least_confident,500,20,10,560,0.806,0.815458
least_confident,500,20,10,570,0.8115,0.82213
least_confident,500,20,10,580,0.76675,0.779327
least_confident,500,20,10,590,0.82025,0.830382
least_confident,500,20,10,600,0.81575,0.825639
least_confident,500,20,10,610,0.83775,0.844113
least_confident,500,20,10,620,0.83575,0.841143
least_confident,500,20,10,630,0.83325,0.840195
least_confident,500,20,10,640,0.85425,0.857325
least_confident,500,20,10,650,0.84125,0.845413
least_confident,500,20,10,660,0.855,0.858039
least_confident,500,20,10,670,0.85775,0.859944
least_confident,500,20,10,680,0.858,0.858437
least_confident,500,20,10,690,0.85425,0.855705
density,500,20,10,500,0.6915,0.670765
density,500,20,10,510,0.708,0.686073
density,500,20,10,520,0.80975,0.815761
density,500,20,10,530,0.78125,0.788576
density,500,20,10,540,0.81975,0.814866
density,500,20,10,550,0.80125,0.805784
density,500,20,10,560,0.823,0.833758
density,500,20,10,570,0.81825,0.828355
density,500,20,10,580,0.8245,0.83318
density,500,20,10,590,0.8145,0.82614
density,500,20,10,600,0.8125,0.820697
density,500,20,10,610,0.81525,0.824948
density,500,20,10,620,0.8195,0.827745
density,500,20,10,630,0.8325,0.837503
density,500,20,10,640,0.83425,0.838426
density,500,20,10,650,0.8435,0.844443
density,500,20,10,660,0.8465,0.847602
density,500,20,10,670,0.83175,0.835431
density,500,20,10,680,0.839,0.8396
density,500,20,10,690,0.83975,0.840368
random,300,20,10,300,0.6035,0.586225
random,300,20,10,310,0.773,0.75451
random,300,20,10,320,0.75525,0.738802
random,300,20,10,330,0.79525,0.779943
random,300,20,10,340,0.80025,0.795483
random,300,20,10,350,0.81725,0.818928
random,300,20,10,360,0.81475,0.814243
random,300,20,10,370,0.814,0.817903
random,300,20,10,380,0.8065,0.815594
random,300,20,10,390,0.8165,0.824253
random,300,20,10,400,0.8275,0.831152
random,300,20,10,410,0.83025,0.835832
random,300,20,10,420,0.842,0.843943
random,300,20,10,430,0.81375,0.819901
random,300,20,10,440,0.8355,0.838584
random,300,20,10,450,0.81175,0.818644
random,300,20,10,460,0.841,0.842434
random,300,20,10,470,0.83175,0.833919
random,300,20,10,480,0.84,0.840192
random,300,20,10,490,0.83525,0.835354
margin,300,20,10,300,0.55675,0.552865
margin,300,20,10,310,0.7935,0.786232
margin,300,20,10,320,0.80575,0.798773
margin,300,20,10,330,0.80825,0.795147
margin,300,20,10,340,0.82675,0.827669
margin,300,20,10,350,0.81325,0.811262
margin,300,20,10,360,0.8225,0.82302
margin,300,20,10,370,0.8395,0.844501
margin,300,20,10,380,0.84275,0.84682
margin,300,20,10,390,0.85625,0.858345
margin,300,20,10,400,0.854,0.857084
margin,300,20,10,410,0.8515,0.853663
margin,300,20,10,420,0.8555,0.860202
margin,300,20,10,430,0.864,0.866312
margin,300,20,10,440,0.85575,0.858719
margin,300,20,10,450,0.8435,0.844751
margin,300,20,10,460,0.86225,0.863148
margin,300,20,10,470,0.8625,0.86421
margin,300,20,10,480,0.86675,0.867083
margin,300,20,10,490,0.86425,0.864674
least_confident,300,20,10,300,0.6455,0.627986
least_confident,300,20,10,310,0.73125,0.70818
least_confident,300,20,10,320,0.7725,0.769374
least_confident,300,20,10,330,0.8185,0.806614
least_confident,300,20,10,340,0.70775,0.714623
least_confident,300,20,10,350,0.82675,0.82587
least_confident,300,20,10,360,0.80725,0.805856
least_confident,300,20,10,370,0.818,0.819392
least_confident,300,20,10,380,0.81775,0.824528
least_confident,300,20,10,390,0.8265,0.835085
least_confident,300,20,10,400,0.81575,0.824003
least_confident,300,20,10,410,0.818,0.824905
least_confident,300,20,10,420,0.83525,0.838822
least_confident,300,20,10,430,0.83325,0.84081
least_confident,300,20,10,440,0.827,0.834443
least_confident,300,20,10,450,0.8455,0.851622
least_confident,300,20,10,460,0.8345,0.842206
least_confident,300,20,10,470,0.84,0.845763
least_confident,300,20,10,480,0.84775,0.85229
least_confident,300,20,10,490,0.84525,0.849951
density,300,20,10,300,0.60775,0.596297
density,300,20,10,310,0.75825,0.734915
density,300,20,10,320,0.80325,0.797655
density,300,20,10,330,0.814,0.808579
density,300,20,10,340,0.815,0.812153
density,300,20,10,350,0.8115,0.819455
density,300,20,10,360,0.77075,0.779315
density,300,20,10,370,0.7535,0.7652
density,300,20,10,380,0.7995,0.804908
density,300,20,10,390,0.74425,0.753199
density,300,20,10,400,0.80425,0.805474
density,300,20,10,410,0.82025,0.821066
density,300,20,10,420,0.83125,0.834651
density,300,20,10,430,0.81525,0.817055
density,300,20,10,440,0.81875,0.8232
density,300,20,10,450,0.79225,0.795537
density,300,20,10,460,0.79125,0.798412
density,300,20,10,470,0.80975,0.817167
density,300,20,10,480,0.808,0.811716
density,300,20,10,490,0.81325,0.817244
random,100,20,10,100,0.63975,0.618637
random,100,20,10,110,0.606,0.592353
random,100,20,10,120,0.62175,0.584186
random,100,20,10,130,0.62175,0.587704
random,100,20,10,140,0.74925,0.730838
random,100,20,10,150,0.73575,0.71441
random,100,20,10,160,0.75875,0.74688
random,100,20,10,170,0.732,0.710078
random,100,20,10,180,0.7785,0.761808
random,100,20,10,190,0.782,0.768228
random,100,20,10,200,0.75075,0.744166
random,100,20,10,210,0.7935,0.791658
random,100,20,10,220,0.8075,0.808128
random,100,20,10,230,0.75525,0.759409
random,100,20,10,240,0.78375,0.787133
random,100,20,10,250,0.778,0.790224
random,100,20,10,260,0.709,0.715176
random,100,20,10,270,0.791,0.798153
random,100,20,10,280,0.7945,0.805823
random,100,20,10,290,0.81225,0.819733
margin,100,20,10,100,0.6645,0.648379
margin,100,20,10,110,0.62825,0.610958
margin,100,20,10,120,0.5865,0.552998
margin,100,20,10,130,0.64225,0.623013
margin,100,20,10,140,0.6765,0.657054
margin,100,20,10,150,0.71625,0.694127
margin,100,20,10,160,0.751,0.733761
margin,100,20,10,170,0.766,0.751224
margin,100,20,10,180,0.74925,0.737275
margin,100,20,10,190,0.77975,0.772998
margin,100,20,10,200,0.79375,0.788475
margin,100,20,10,210,0.783,0.778441
margin,100,20,10,220,0.78425,0.789109
margin,100,20,10,230,0.76225,0.76823
margin,100,20,10,240,0.787,0.793705
margin,100,20,10,250,0.78675,0.793096
margin,100,20,10,260,0.74775,0.760128
margin,100,20,10,270,0.76925,0.780144
margin,100,20,10,280,0.8095,0.813819
margin,100,20,10,290,0.80275,0.804314
least_confident,100,20,10,100,0.6875,0.672062
least_confident,100,20,10,110,0.617,0.592877
least_confident,100,20,10,120,0.59125,0.554509
least_confident,100,20,10,130,0.6225,0.60219
least_confident,100,20,10,140,0.762,0.740386
least_confident,100,20,10,150,0.78175,0.762598
least_confident,100,20,10,160,0.7955,0.777386
least_confident,100,20,10,170,0.7845,0.767524
least_confident,100,20,10,180,0.8035,0.790209
least_confident,100,20,10,190,0.776,0.757402
least_confident,100,20,10,200,0.804,0.798434
least_confident,100,20,10,210,0.7895,0.783306
least_confident,100,20,10,220,0.81275,0.810827
least_confident,100,20,10,230,0.80825,0.807391
least_confident,100,20,10,240,0.81575,0.818481
least_confident,100,20,10,250,0.832,0.834043
least_confident,100,20,10,260,0.8235,0.825149
least_confident,100,20,10,270,0.799,0.806728
least_confident,100,20,10,280,0.82675,0.832063
least_confident,100,20,10,290,0.8115,0.815771
density,100,20,10,100,0.6505,0.631601
density,100,20,10,110,0.531,0.52447
density,100,20,10,120,0.5245,0.485388
density,100,20,10,130,0.52375,0.451169
density,100,20,10,140,0.67625,0.658403
density,100,20,10,150,0.68975,0.691408
density,100,20,10,160,0.762,0.765753
density,100,20,10,170,0.75875,0.761803
density,100,20,10,180,0.735,0.745392
density,100,20,10,190,0.736,0.747546
density,100,20,10,200,0.724,0.735641
density,100,20,10,210,0.76425,0.769843
density,100,20,10,220,0.75375,0.754807
density,100,20,10,230,0.738,0.746037
density,100,20,10,240,0.73825,0.746994
density,100,20,10,250,0.74525,0.752759
density,100,20,10,260,0.7645,0.761688
density,100,20,10,270,0.7495,0.763322
density,100,20,10,280,0.74375,0.755817
density,100,20,10,290,0.766,0.772676
entropy,500,20,10,500,0.693,0.671619
entropy,500,20,10,510,0.8165,0.805243
entropy,500,20,10,520,0.8035,0.789605
entropy,500,20,10,530,0.83175,0.832891
entropy,500,20,10,540,0.8165,0.825894
entropy,500,20,10,550,0.822,0.832056
entropy,500,20,10,560,0.82575,0.835061
entropy,500,20,10,570,0.82225,0.833195
entropy,500,20,10,580,0.804,0.814265
entropy,500,20,10,590,0.82075,0.829758
entropy,500,20,10,600,0.82325,0.831455
entropy,500,20,10,610,0.8325,0.839284
entropy,500,20,10,620,0.84075,0.84506
entropy,500,20,10,630,0.8355,0.839759
entropy,500,20,10,640,0.84225,0.84475
entropy,500,20,10,650,0.8285,0.835231
entropy,500,20,10,660,0.84,0.842188
entropy,500,20,10,670,0.847,0.851606
entropy,500,20,10,680,0.847,0.85054
entropy,500,20,10,690,0.84775,0.850388
diversity,500,20,10,500,0.6845,0.662122
diversity,500,20,10,510,0.78325,0.775875
diversity,500,20,10,520,0.82575,0.818965
diversity,500,20,10,530,0.8155,0.82311
diversity,500,20,10,540,0.82675,0.835171
diversity,500,20,10,550,0.82025,0.827692
diversity,500,20,10,560,0.78875,0.802839
diversity,500,20,10,570,0.8195,0.829398
diversity,500,20,10,580,0.81,0.81802
diversity,500,20,10,590,0.82125,0.827091
diversity,500,20,10,600,0.829,0.836066
diversity,500,20,10,610,0.84575,0.850285
diversity,500,20,10,620,0.8375,0.842518
diversity,500,20,10,630,0.8455,0.848472
diversity,500,20,10,640,0.84325,0.84788
diversity,500,20,10,650,0.855,0.856922
diversity,500,20,10,660,0.84625,0.848787
diversity,500,20,10,670,0.8535,0.855083
diversity,500,20,10,680,0.85125,0.855053
diversity,500,20,10,690,0.85475,0.855772
entropy_diversity,500,20,10,500,0.721,0.697958
entropy_diversity,500,20,10,510,0.7875,0.767164
entropy_diversity,500,20,10,520,0.795,0.795371
entropy_diversity,500,20,10,530,0.82,0.811314
entropy_diversity,500,20,10,540,0.79125,0.804455
