strategy,init,iterations,query,sample_size,accuracy,f1_score
entropy,500,20,10,500,0.693,0.671619
entropy,500,20,10,510,0.8165,0.805243
entropy,500,20,10,520,0.8035,0.789605
entropy,500,20,10,530,0.83175,0.832891
entropy,500,20,10,540,0.8165,0.825894
entropy,500,20,10,550,0.822,0.832056
entropy,500,20,10,560,0.82575,0.835061
entropy,500,20,10,570,0.82225,0.833195
entropy,500,20,10,580,0.804,0.814265
entropy,500,20,10,590,0.82075,0.829758
entropy,500,20,10,600,0.82325,0.831455
entropy,500,20,10,610,0.8325,0.839284
entropy,500,20,10,620,0.84075,0.84506
entropy,500,20,10,630,0.8355,0.839759
entropy,500,20,10,640,0.84225,0.84475
entropy,500,20,10,650,0.8285,0.835231
entropy,500,20,10,660,0.84,0.842188
entropy,500,20,10,670,0.847,0.851606
entropy,500,20,10,680,0.847,0.85054
entropy,500,20,10,690,0.84775,0.850388
diversity,500,20,10,500,0.6845,0.662122
diversity,500,20,10,510,0.78325,0.775875
diversity,500,20,10,520,0.82575,0.818965
diversity,500,20,10,530,0.8155,0.82311
diversity,500,20,10,540,0.82675,0.835171
diversity,500,20,10,550,0.82025,0.827692
diversity,500,20,10,560,0.78875,0.802839
diversity,500,20,10,570,0.8195,0.829398
diversity,500,20,10,580,0.81,0.81802
diversity,500,20,10,590,0.82125,0.827091
diversity,500,20,10,600,0.829,0.836066
diversity,500,20,10,610,0.84575,0.850285
diversity,500,20,10,620,0.8375,0.842518
diversity,500,20,10,630,0.8455,0.848472
diversity,500,20,10,640,0.84325,0.84788
diversity,500,20,10,650,0.855,0.856922
diversity,500,20,10,660,0.84625,0.848787
diversity,500,20,10,670,0.8535,0.855083
diversity,500,20,10,680,0.85125,0.855053
diversity,500,20,10,690,0.85475,0.855772
entropy_diversity,500,20,10,500,0.721,0.697958
entropy_diversity,500,20,10,510,0.7875,0.767164
entropy_diversity,500,20,10,520,0.795,0.795371
entropy_diversity,500,20,10,530,0.82,0.811314
entropy_diversity,500,20,10,540,0.79125,0.804455
entropy_diversity,500,20,10,550,0.8105,0.820833
entropy_diversity,500,20,10,560,0.8215,0.832427
entropy_diversity,500,20,10,570,0.84825,0.853178
entropy_diversity,500,20,10,580,0.84625,0.850864
entropy_diversity,500,20,10,590,0.82575,0.8331
entropy_diversity,500,20,10,600,0.84375,0.846168
entropy_diversity,500,20,10,610,0.82875,0.83391
entropy_diversity,500,20,10,620,0.833,0.83674
entropy_diversity,500,20,10,630,0.8475,0.848632
entropy_diversity,500,20,10,640,0.84125,0.84237
entropy_diversity,500,20,10,650,0.8545,0.853373
entropy_diversity,500,20,10,660,0.83575,0.837293
entropy_diversity,500,20,10,670,0.822,0.825754
entropy_diversity,500,20,10,680,0.83825,0.837221
entropy_diversity,500,20,10,690,0.824,0.828812
entropy,300,20,10,300,0.68425,0.665602
entropy,300,20,10,310,0.75825,0.744064
entropy,300,20,10,320,0.80775,0.802932
entropy,300,20,10,330,0.816,0.800218
entropy,300,20,10,340,0.7895,0.78547
entropy,300,20,10,350,0.6925,0.701964
entropy,300,20,10,360,0.73475,0.746705
entropy,300,20,10,370,0.7825,0.791239
entropy,300,20,10,380,0.78825,0.80223
entropy,300,20,10,390,0.809,0.817862
entropy,300,20,10,400,0.815,0.826029
entropy,300,20,10,410,0.80675,0.81873
entropy,300,20,10,420,0.7985,0.811298
entropy,300,20,10,430,0.8295,0.837093
entropy,300,20,10,440,0.82375,0.833265
entropy,300,20,10,450,0.81425,0.82512
entropy,300,20,10,460,0.842,0.844093
entropy,300,20,10,470,0.7995,0.80529
entropy,300,20,10,480,0.8545,0.855343
entropy,300,20,10,490,0.84075,0.841382
diversity,300,20,10,300,0.69275,0.672395
diversity,300,20,10,310,0.771,0.757071
diversity,300,20,10,320,0.78775,0.775824
diversity,300,20,10,330,0.80425,0.793596
diversity,300,20,10,340,0.79475,0.793648
diversity,300,20,10,350,0.765,0.768351
diversity,300,20,10,360,0.73225,0.744
diversity,300,20,10,370,0.71775,0.729206
diversity,300,20,10,380,0.695,0.706039
diversity,300,20,10,390,0.65825,0.661713
diversity,300,20,10,400,0.71625,0.728665
diversity,300,20,10,410,0.71525,0.729768
diversity,300,20,10,420,0.742,0.7547
diversity,300,20,10,430,0.72125,0.733672
diversity,300,20,10,440,0.7155,0.727019
diversity,300,20,10,450,0.79625,0.795801
diversity,300,20,10,460,0.81075,0.819786
diversity,300,20,10,470,0.78175,0.79338
diversity,300,20,10,480,0.77775,0.788592
diversity,300,20,10,490,0.81225,0.81793
entropy_diversity,300,20,10,300,0.66075,0.643426
entropy_diversity,300,20,10,310,0.7455,0.724113
entropy_diversity,300,20,10,320,0.77575,0.7658
entropy_diversity,300,20,10,330,0.7555,0.749205
entropy_diversity,300,20,10,340,0.794,0.790796
entropy_diversity,300,20,10,350,0.8005,0.804988
entropy_diversity,300,20,10,360,0.80525,0.805365
entropy_diversity,300,20,10,370,0.7875,0.796314
entropy_diversity,300,20,10,380,0.74475,0.756353
entropy_diversity,300,20,10,390,0.7675,0.779743
entropy_diversity,300,20,10,400,0.80325,0.814401
entropy_diversity,300,20,10,410,0.80275,0.811709
entropy_diversity,300,20,10,420,0.79825,0.807301
entropy_diversity,300,20,10,430,0.8125,0.822685
entropy_diversity,300,20,10,440,0.8295,0.838531
entropy_diversity,300,20,10,450,0.81275,0.826394
entropy_diversity,300,20,10,460,0.84775,0.852458
entropy_diversity,300,20,10,470,0.84525,0.851003
entropy_diversity,300,20,10,480,0.8395,0.845574
entropy_diversity,300,20,10,490,0.844,0.848503
entropy,100,20,10,100,0.672,0.659224
entropy,100,20,10,110,0.58975,0.570979
entropy,100,20,10,120,0.624,0.593744
entropy,100,20,10,130,0.6515,0.626118
entropy,100,20,10,140,0.69725,0.680812
entropy,100,20,10,150,0.75625,0.743807
entropy,100,20,10,160,0.77775,0.770463
entropy,100,20,10,170,0.7635,0.748798
entropy,100,20,10,180,0.78175,0.771919
entropy,100,20,10,190,0.7785,0.766276
entropy,100,20,10,200,0.773,0.779688
entropy,100,20,10,210,0.79625,0.795543
entropy,100,20,10,220,0.7935,0.798331
entropy,100,20,10,230,0.797,0.802423
entropy,100,20,10,240,0.801,0.805838
entropy,100,20,10,250,0.811,0.815712
entropy,100,20,10,260,0.76625,0.780143
entropy,100,20,10,270,0.77975,0.789826
entropy,100,20,10,280,0.79375,0.803514
entropy,100,20,10,290,0.772,0.785574
diversity,100,20,10,100,0.646,0.628377
diversity,100,20,10,110,0.55525,0.541597
diversity,100,20,10,120,0.63325,0.600286
diversity,100,20,10,130,0.6565,0.633672
diversity,100,20,10,140,0.64225,0.619634
diversity,100,20,10,150,0.66375,0.644537
diversity,100,20,10,160,0.7035,0.686232
diversity,100,20,10,170,0.7335,0.730737
diversity,100,20,10,180,0.76,0.763648
diversity,100,20,10,190,0.77125,0.767958
diversity,100,20,10,200,0.7485,0.755441
diversity,100,20,10,210,0.74975,0.758377
diversity,100,20,10,220,0.73725,0.746207
