strategy,init,iterations,query,sample_size,accuracy,f1_score
random,100,20,10,100,0.63975,0.618637
random,100,20,10,110,0.606,0.592353
random,100,20,10,120,0.62175,0.584186
random,100,20,10,130,0.62175,0.587704
random,100,20,10,140,0.74925,0.730838
random,100,20,10,150,0.73575,0.71441
random,100,20,10,160,0.75875,0.74688
random,100,20,10,170,0.732,0.710078
random,100,20,10,180,0.7785,0.761808
random,100,20,10,190,0.782,0.768228
random,100,20,10,200,0.75075,0.744166
random,100,20,10,210,0.7935,0.791658
random,100,20,10,220,0.8075,0.808128
random,100,20,10,230,0.75525,0.759409
random,100,20,10,240,0.78375,0.787133
random,100,20,10,250,0.778,0.790224
random,100,20,10,260,0.709,0.715176
random,100,20,10,270,0.791,0.798153
random,100,20,10,280,0.7945,0.805823
random,100,20,10,290,0.81225,0.819733
margin,100,20,10,100,0.6645,0.648379
margin,100,20,10,110,0.62825,0.610958
margin,100,20,10,120,0.5865,0.552998
margin,100,20,10,130,0.64225,0.623013
margin,100,20,10,140,0.6765,0.657054
margin,100,20,10,150,0.71625,0.694127
margin,100,20,10,160,0.751,0.733761
margin,100,20,10,170,0.766,0.751224
margin,100,20,10,180,0.74925,0.737275
margin,100,20,10,190,0.77975,0.772998
margin,100,20,10,200,0.79375,0.788475
margin,100,20,10,210,0.783,0.778441
margin,100,20,10,220,0.78425,0.789109
margin,100,20,10,230,0.76225,0.76823
margin,100,20,10,240,0.787,0.793705
margin,100,20,10,250,0.78675,0.793096
margin,100,20,10,260,0.74775,0.760128
margin,100,20,10,270,0.76925,0.780144
margin,100,20,10,280,0.8095,0.813819
margin,100,20,10,290,0.80275,0.804314
least_confident,100,20,10,100,0.6875,0.672062
least_confident,100,20,10,110,0.617,0.592877
least_confident,100,20,10,120,0.59125,0.554509
least_confident,100,20,10,130,0.6225,0.60219
least_confident,100,20,10,140,0.762,0.740386
least_confident,100,20,10,150,0.78175,0.762598
least_confident,100,20,10,160,0.7955,0.777386
least_confident,100,20,10,170,0.7845,0.767524
least_confident,100,20,10,180,0.8035,0.790209
least_confident,100,20,10,190,0.776,0.757402
least_confident,100,20,10,200,0.804,0.798434
least_confident,100,20,10,210,0.7895,0.783306
least_confident,100,20,10,220,0.81275,0.810827
least_confident,100,20,10,230,0.80825,0.807391
least_confident,100,20,10,240,0.81575,0.818481
least_confident,100,20,10,250,0.832,0.834043
least_confident,100,20,10,260,0.8235,0.825149
least_confident,100,20,10,270,0.799,0.806728
least_confident,100,20,10,280,0.82675,0.832063
least_confident,100,20,10,290,0.8115,0.815771
density,100,20,10,100,0.6505,0.631601
density,100,20,10,110,0.531,0.52447
density,100,20,10,120,0.5245,0.485388
density,100,20,10,130,0.52375,0.451169
density,100,20,10,140,0.67625,0.658403
density,100,20,10,150,0.68975,0.691408
density,100,20,10,160,0.762,0.765753
density,100,20,10,170,0.75875,0.761803
density,100,20,10,180,0.735,0.745392
density,100,20,10,190,0.736,0.747546
density,100,20,10,200,0.724,0.735641
density,100,20,10,210,0.76425,0.769843
density,100,20,10,220,0.75375,0.754807
density,100,20,10,230,0.738,0.746037
density,100,20,10,240,0.73825,0.746994
density,100,20,10,250,0.74525,0.752759
density,100,20,10,260,0.7645,0.761688
density,100,20,10,270,0.7495,0.763322
density,100,20,10,280,0.74375,0.755817
density,100,20,10,290,0.766,0.772676
